Source,Target,Type,Distance,Voltage,Lines
78,192,Undirected,0,110,2
78,193,Undirected,0,110,2
194,79,Undirected,2.715,110,4
194,195,Undirected,0.03,110,2
194,69,Undirected,7.73,110,2
72,196,Undirected,20.7,110,2
197,196,Undirected,0.04,110,2
198,196,Undirected,18.9,110,2
198,199,Undirected,0,110,1
198,148,Undirected,37.3,110,2
198,200,Undirected,0,110,1
201,81,Undirected,0,110,1
201,202,Undirected,0,66,1
177,50,Undirected,8.76,110,2
81,50,Undirected,6.24,110,2
51,203,Undirected,1.8,110,1
177,204,Undirected,35.3,110,2
205,204,Undirected,0,66,1
158,206,Undirected,8,110,2
86,207,Undirected,0.021,110,2
88,85,Undirected,0.49,110,2
178,85,Undirected,0.39,110,2
73,190,Undirected,1.34,110,2
178,88,Undirected,0.23,220,1
178,186,Undirected,24.895,220,4
188,208,Undirected,10.2,66,2
209,210,Undirected,14.8,110,1
178,210,Undirected,0.38,220,2
211,210,Undirected,48.72,220,2
38,92,Undirected,25.6333333333,110,3
212,213,Undirected,1.1,66,1
214,212,Undirected,4.69,66,1
40,215,Undirected,23.09,110,1
12,215,Undirected,86.85,110,1
41,215,Undirected,0,66,1
41,216,Undirected,0.12,66,1
185,216,Undirected,0,220,3
185,215,Undirected,0.63,220,1
12,217,Undirected,7.82,66,1
81,86,Undirected,6.98,110,2
178,218,Undirected,9.45,154,1
212,218,Undirected,0.9,154,1
219,218,Undirected,34.41,154,1
219,178,Undirected,44.41,154,1
105,178,Undirected,260.32,500,4
220,178,Undirected,60.7,110,2
219,97,Undirected,9.29,154,2
97,94,Undirected,0,154,2
221,94,Undirected,12.8,66,1
214,222,Undirected,13.86,66,1
223,222,Undirected,8.79,66,1
223,224,Undirected,0.06,66,1
223,225,Undirected,2.23,66,1
226,225,Undirected,0,66,1
93,225,Undirected,9.73,66,1
93,219,Undirected,10.5,154,2
220,227,Undirected,0,110,4
220,228,Undirected,27.9,110,2
229,228,Undirected,16.5,110,2
230,228,Undirected,0,66,1
230,231,Undirected,0,66,2
228,231,Undirected,0,66,2
220,231,Undirected,0,66,1
220,232,Undirected,0,110,1
228,232,Undirected,0,110,2
232,211,Undirected,16.2,220,2
233,211,Undirected,0.1,220,2
234,211,Undirected,214.4,220,2
235,220,Undirected,2.4,154,1
235,236,Undirected,2.7,154,1
235,93,Undirected,11.13,154,1
34,96,Undirected,6.7,66,1
237,96,Undirected,11.12,66,1
34,238,Undirected,0.1,66,1
34,239,Undirected,13.6,66,1
237,35,Undirected,1.62,66,1
34,98,Undirected,0,154,2
240,98,Undirected,19.89,154,2
11,35,Undirected,5.22,66,1
11,237,Undirected,5.87,66,1
11,240,Undirected,2.3,154,1
241,240,Undirected,0,154,2
240,242,Undirected,38.15,154,2
99,242,Undirected,2.9,154,1
99,243,Undirected,0.23,66,1
103,242,Undirected,38.95,154,2
103,48,Undirected,22.82,66,2
48,244,Undirected,10.395,66,2
101,244,Undirected,9.1,66,2
101,245,Undirected,2.9,66,1
246,245,Undirected,13.54,66,1
246,101,Undirected,14.3,66,1
103,99,Undirected,38.78,66,2
246,52,Undirected,0,66,1
103,52,Undirected,45.11,66,1
103,247,Undirected,103.33,154,1
104,248,Undirected,3.47,154,2
104,247,Undirected,13.44,154,1
103,105,Undirected,67.75,220,2
108,105,Undirected,206.36,500,2
105,249,Undirected,23,220,2
250,249,Undirected,0.53,220,2
251,249,Undirected,12,220,2
250,252,Undirected,0,220,2
251,253,Undirected,12,220,1
251,254,Undirected,18.6,110,1
234,105,Undirected,0.17,220,1
234,255,Undirected,7.4,220,1
234,256,Undirected,3.6,66,1
257,256,Undirected,7.58,66,1
258,2,Undirected,0,66,1
259,2,Undirected,18,66,1
53,106,Undirected,14.71,66,1
107,53,Undirected,36.64,154,1
107,28,Undirected,16.94,66,1
260,162,Undirected,27.1,66,2
261,29,Undirected,3.4,66,1
261,262,Undirected,1.99,66,1
263,262,Undirected,37.1,66,1
261,264,Undirected,2.33,66,1
29,264,Undirected,5.56,66,1
108,264,Undirected,61.04,154,1
18,264,Undirected,10.11,66,1
29,108,Undirected,61.36,154,1
265,108,Undirected,23.91,66,1
246,74,Undirected,26.8,66,1
108,266,Undirected,75.495,220,2
266,109,Undirected,8.28,66,1
150,109,Undirected,8.64,66,1
149,266,Undirected,10.45,154,1
267,149,Undirected,5.49,154,2
267,268,Undirected,0,154,1
267,269,Undirected,25.62,220,1
267,108,Undirected,76.2,220,1
266,270,Undirected,3,66,1
271,270,Undirected,0.06,66,1
111,270,Undirected,1.29,66,1
111,108,Undirected,4.379,66,1
271,150,Undirected,3.735,66,2
266,150,Undirected,0.0933333333333,154,3
112,260,Undirected,14.2,66,2
272,273,Undirected,0,66,1
272,274,Undirected,0.89,66,1
275,260,Undirected,2.93,66,1
276,260,Undirected,0.88,154,1
276,275,Undirected,2.8,154,1
276,269,Undirected,3.45,154,1
277,269,Undirected,7.63,154,1
277,278,Undirected,8.7,154,1
279,278,Undirected,0.5,154,1
267,278,Undirected,8.99,154,1
108,269,Undirected,84,220,1
31,164,Undirected,25.09,66,2
280,162,Undirected,0,66,1
108,281,Undirected,74.3,220,2
108,282,Undirected,0,220,1
108,283,Undirected,0,220,1
108,284,Undirected,26.25,220,1
285,284,Undirected,104.53,220,1
285,286,Undirected,86.15,220,1
287,286,Undirected,23,220,1
108,286,Undirected,46.67,220,1
108,287,Undirected,67.46,220,2
288,287,Undirected,17.5,220,2
108,114,Undirected,141,220,2
289,114,Undirected,0.32,220,2
108,290,Undirected,44,220,1
291,290,Undirected,11.6,220,1
